round,accuracy,loss
0,0.1044,2.3047785155380827
1,0.2837,2.0519359096696106
2,0.3441,1.6975884015047098
3,0.44,1.5048878132542478
4,0.4911,1.3916450572919241
5,0.5281,1.3125954881499085
6,0.5273,1.3146612085873568
7,0.5365,1.2877244134492511
8,0.5469,1.2904588165162485
9,0.558,1.2607354431212703
10,0.5715,1.2419953927209106
11,0.5727,1.241241979448101
12,0.5831,1.206601018392587
13,0.5846,1.2238751951652238
14,0.5837,1.2559884801695618
15,0.5896,1.2404358900046046
