round,accuracy,loss
0,0.1,2.3059263229370117
1,0.2735,2.062937878355195
2,0.3771,1.6710513181324247
3,0.4159,1.5546927542626103
4,0.4778,1.4160232453406612
5,0.5043,1.3462889375565927
6,0.5254,1.310258236112474
7,0.5212,1.322885508778729
8,0.5596,1.2317866403845292
9,0.5544,1.270566208453118
10,0.5757,1.2002450386180152
