round,accuracy,loss
0,0.0963,2.304857727847522
1,0.2395,20.872652560849733
2,0.1388,2.609202448325821
3,0.203,15.991914507708971
4,0.274,2.173127636124816
5,0.3123,4.710795013210442
6,0.4023,1.8346274412131007
7,0.4286,2.454959815061545
8,0.4971,1.709445266783992
9,0.5097,1.7639716652375232
10,0.5276,1.7031994952431209
