round,accuracy,loss
0,0.0979,2.3064031932927387
1,0.275,23.076588304736948
2,0.1922,2.1963193356236324
3,0.3116,9.986092108714429
4,0.2651,1.9814551223682453
5,0.3583,4.509563853469076
6,0.4053,1.7663874248915081
7,0.4032,2.57910222041456
8,0.4176,1.946388546424576
9,0.4521,2.0254123618331135
10,0.4778,1.804522589792179
