round,accuracy,loss
0,0.1,2.304924406582796
1,0.1955,2.131744967231268
2,0.341,1.7288575353501718
3,0.4347,1.5115109953699233
4,0.4781,1.4241164530379862
5,0.5137,1.3541257109823106
6,0.5424,1.2880921046945113
7,0.5336,1.3139195608187326
8,0.5489,1.273118037211744
9,0.5652,1.2473111197918276
10,0.5746,1.2050157513799546
11,0.5745,1.244174076032035
12,0.5808,1.2275765757017498
13,0.589,1.232109071333197
14,0.5785,1.2857348066342027
15,0.5914,1.2613292313829254
