round,accuracy,loss
1,0.89725,0.5275833300272624
2,0.9607666666666667,0.1400901809598009
3,0.96485,0.12219404096802075
4,0.9712833333333333,0.09567949103092153
5,0.9730166666666668,0.08869638087833301
